Name,Description,Ocupation Wikidata Ids
JOHN D. ROCKEFELLER,American business magnate and philanthropist,"entrepreneur|""accountant""|"
WARREN BUFFETT,American business magnate| investor| and philanthropist,"stockbroker|""financier""|"
DONALD TRUMP,American business magnate| television personality and author,"business magnate|""investor""|""restaurateur""|""writer""|""entrepreneur""|""politician""|"
PETER B. LEWIS,American businessman,art collector|
WILLIAM BERNBACH,American businessman,"art director|""entrepreneur""|"
KIRK KERKORIAN,American businessman,"aviator|""entrepreneur""|""financier""|"
BRUCE WASSERSTEIN,American businessman,"banker|""financier""|"
ARUN SARIN,American businessman,business executive|
MAURICE R. GREENBERG,American businessman,business executive|
SAMUEL J. PALMISANO,American businessman,business owner|
RICHARD MELLON SCAIFE,American businessman,businessperson|
TOM GOLISANO,American businessman,businessperson|
JOHN SCULLEY,American businessman,businessperson|
JAMES S. TISCH,American businessman,businessperson|
RICHARD M. SCRUSHY,American businessman,businessperson|
RICK WAGONER,American businessman,businessperson|
CHASE CAREY,American businessman,businessperson|
WILLIAM WRIGLEY,American businessman,businessperson|
PAUL PELOSI,American businessman,businessperson|
DAVID J. LESAR,American businessman,"businessperson|""chief executive officer""|""entrepreneur""|"
RAY R. IRANI,American businessman,chief executive officer|
EMERSON SPARTZ,American businessman,chief executive officer|
TIM LEIWEKE,American businessman,chief executive officer|
E. NEVILLE ISDELL,American businessman,"chief executive officer|""businessperson""|"
PHILIP J. PURCELL,American businessman,"chief executive officer|""entrepreneur""|"
TERRY J. LUNDGREN,American businessman,"chief executive officer|""entrepreneur""|"
TY NORRIS,American businessman,engineer|
BOBBY GINN,American businessman,"engineer|""NASCAR team owner""|"
PETER S. KALIKOW,American businessman,entrepreneur|
CHAD HURLEY,American businessman,entrepreneur|
STAN KROENKE,American businessman,entrepreneur|
MUHTAR KENT,American businessman,entrepreneur|
JEFFREY R. IMMELT,American businessman,entrepreneur|
WOODY JOHNSON,American businessman,entrepreneur|
DANIEL L. DOCTOROFF,American businessman,entrepreneur|
ORVILLE REDENBACHER,American businessman,entrepreneur|
HENRY KRAVIS,American businessman,entrepreneur|
IAN SCHRAGER,American businessman,entrepreneur|
LESLIE MOONVES,American businessman,entrepreneur|
BARRY DILLER,American businessman,entrepreneur|
CHARLES WANG,American businessman,entrepreneur|
ARTHUR BLANK,American businessman,"entrepreneur|""businessperson""|"
STEVEN SINOFSKY,American businessman,"entrepreneur|""programmer""|"
JOEL SILVER,American businessman,film producer|
STEVE TISCH,American businessman,film producer|
JARED KUSHNER,American businessman,financier|
STEPHEN A. SCHWARZMAN,American businessman,financier|
BRUCE KOVNER,American businessman,financier|
WILBUR ROSS,American businessman,financier|
JOHN DEERE,American businessman,inventor|
DAWN OSTROFF,American businessman,journalist|
PETER R. KANN,American businessman,journalist|
STEPHEN M. ROSS,American businessman,lawyer|
DAVID BONDERMAN,American businessman,"lawyer|""financier""|"
LEE IACOCCA,American businessman,manager|
WELLINGTON MARA,American businessman,officer|
IRA D. WALLACH,American businessman,officer|
ROSS PEROT,American businessman,"officer|""politician""|""entrepreneur""|"
DAVID DEWHURST,American businessman,"officer|""rancher""|"
BERNARD MARCUS,American businessman,"pharmacist|""entrepreneur""|"
CHRISTINE JENNINGS,American businessman,"politician|""banker""|"
RAY OZZIE,American businessman,programmer|
SAM CHANG,American businessman,restaurateur|
RACHAEL RAY,American businessman,"restaurateur|""television presenter""|""author""|""writer""|""entrepreneur""|"
CRAIG HATKOFF,American businessman,writer|
LARRY SILVERSTEIN,American businessman,
ALAN H. FISHMAN,American businessman,
CHARLES O. FINLEY,American businessman,
ANDREW ROSEN,American businessman,
BLAIR HULL,American businessman,
BRIAN HALLIGAN,American businessman,
GIORGIO DELUCA,American businessman,
JAMES R. HOUGHTON,American businessman,
LILLY LEDBETTER,American businessman,
MAURICE TEMPELSMAN,American businessman,
RALPH V. WHITWORTH,American businessman,
ROBERT K. STEEL,American businessman,
VINOD GUPTA,American businessman,
STEVE JURVETSON,American businessman,
JOHN TAYLOR JOHNSTON,American businessman,
ABY ROSEN,American businessman,
ALEX BOGUSKY,American businessman,
BARRY STERNLICHT,American businessman,
ELLIOT G. SANDER,American businessman,
GARY LOVEMAN,American businessman,
J. DARIUS BIKOFF,American businessman,
J. EZRA MERKIN,American businessman,
JAMES L. DOLAN,American businessman,
JEFF GASPIN,American businessman,
JEFFREY A. CITRON,American businessman,
JOHN RIGAS,American businessman,
MICHAEL R. CANNON,American businessman,
MURRAY MOSS,American businessman,
NELSON PELTZ,American businessman,
ROBERT J. FISHER,American businessman,
STEVE CAPUS,American businessman,
WALTER BAREISS,American businessman,
WALTER READE,American businessman,
MITCHELL S. STEIR,American businessman,
MARY WELLS LAWRENCE,American businessman,
PETER UEBERROTH,American businessman,
H. L. HUNT,American businessman,
DAVID F. SWENSEN,American businessman,
JOHN DOERR,American businessman,
DAVE CHECKETTS,American businessman,
DAVID WESTIN,American businessman,
DOLLY LENZ,American businessman,
EDMUND MCILHENNY,American businessman,
EDWARD F. BOYD,American businessman,
ELLEN SIMINOFF,American businessman,
GUSSIE BUSCH,American businessman,
JONATHAN TISCH,American businessman,
MARTIN J. SULLIVAN,American businessman,
PETER H. REYNOLDS,American businessman,
PETER LIGUORI,American businessman,
PETER R. DOLAN,American businessman,
ROB GLASER,American businessman,
ROBERT B. LEWIS,American businessman,
STACEY SNIDER,American businessman,
TERRY SEMEL,American businessman,
S. PARKER GILBERT,American businessman,
GARY BETTMAN,American businessman,
ROBERT L. JOHNSON,American businessman,
VINOD KHOSLA,American businessman,
J. CHRISTOPHER FLOWERS,American businessman,
JAY SEKULOW,American businessman,
JERRY GREENFIELD,American businessman,
ALAN F. HORN,American businessman,
ALAN PATRICOF,American businessman,
ARTE MORENO,American businessman,
BRENT R. WILKES,American businessman,
CHARLES N. KAHN III,American businessman,
CYNTHIA HARRISS,American businessman,
WAYNE HUIZENGA,American businessman,
JOHN CATSIMATIDIS,American businessman,
LARRY LUCCHINO,American businessman,
LAWRENCE M. SMALL,American businessman,
LURITA DOAN,American businessman,
MILTON PETRIE,American businessman,
MORRIS W. OFFIT,American businessman,
PAUL EIBELER,American businessman,
RALPH REED,American businessman,
T. DENNY SANFORD,American businessman,
TOM GERACE,American businessman,
THEODORE J. FORSTMANN,American businessman and investor,"lawyer|""financier""|"
FRANK BLAKE,American businessman and lawyer,"chief operating officer|""entrepreneur""|"
ANDREW CARNEGIE,American businessman and philanthropist,"philanthropist|""business magnate""|"
JOHN C. MALONE,American businessman and philanthropist,"publisher|""entrepreneur""|"
MATTHEW BRONFMAN,American businessman and philanthropist,
NED LAMONT,American businessman and politician,businessperson|
TERRY MCAULIFFE,American businessman and politician,"lawyer|""banker""|"
DAN GLICKMAN,American businessman and politician,politician|
JOHN M. SMITH,American businessman and politician,politician|
MITT ROMNEY,American businessman and politician,"politician|""consultant""|""bishop""|"
MICHAEL BLOOMBERG,American businessman and politician| mayor of New York City,"businessperson|""politician""|""aviator""|""writer""|"
JACK ROUSH,American businessman and race team owner,NASCAR team owner|
